エリア,グループ名,発電所名,ユニット名,発電方式,凡例のユニット名,認可出力(万kW)
HOKKAIDO,北海道電力 泊,泊発電所,１号機,NUCLEAR,1号機,57.9
HOKKAIDO,北海道電力 泊,泊発電所,２号機,NUCLEAR,2号機,57.9
HOKKAIDO,北海道電力 泊,泊発電所,３号機,NUCLEAR,3号機,91.2
HOKKAIDO,北海道電力 石狩湾新港,石狩湾新港発電所,１号機,MACC2,1号機,56.94
HOKKAIDO,北海道電力 苫東厚真,苫東厚真発電所,１号機,SUB_C,1号機,35.0
HOKKAIDO,北海道電力 苫東厚真,苫東厚真発電所,２号機,SC,2号機,60.0
HOKKAIDO,北海道電力 苫東厚真,苫東厚真発電所,４号機,USC,4号機,70.0
HOKKAIDO,北海道電力 砂川,砂川発電所,３号機,SUB_C,3号機,12.5
HOKKAIDO,北海道電力 砂川,砂川発電所,４号機,SUB_C,4号機,12.5
HOKKAIDO,北海道電力 奈井江,奈井江発電所,１号機,SUB_C,1号機,17.5
HOKKAIDO,北海道電力 奈井江,奈井江発電所,２号機,SUB_C,2号機,17.5
HOKKAIDO,北海道電力 苫小牧,苫小牧発電所,単独,OIL,,25.0
HOKKAIDO,北海道PE 苫小牧共同火力,北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力発電所3G,単独,OIL,5号機,25.0
HOKKAIDO,北海道電力 知内,知内発電所,１号機,OIL,1号機,35.0
HOKKAIDO,北海道電力 知内,知内発電所,２号機,OIL,2号機,35.0
HOKKAIDO,日本製鉄 室蘭中央,日本製鉄（株）室蘭中央発電所 第5号発電設備,室蘭中央5号,SUB_C,5号機,10.0
HOKKAIDO,釧路火力発電所(株) 釧路火力,釧路火力発電所,1,OTHER,,11.2
HOKKAIDO,北海道電力 伊達,伊達発電所,１号機,OIL,1号機,35.0
HOKKAIDO,北海道電力 伊達,伊達発電所,２号機,OIL,2号機,35.0
HOKKAIDO,北海道電力 京極,京極発電所,１号機,PUMPED,1号機,20.0
HOKKAIDO,北海道電力 京極,京極発電所,２号機,PUMPED,2号機,20.0
HOKKAIDO,北海道電力 新冠,新冠発電所,１号機,HYBRID_PUMPED,1号機,10.0
HOKKAIDO,北海道電力 新冠,新冠発電所,２号機,HYBRID_PUMPED,2号機,10.0
HOKKAIDO,北海道電力 高見,高見発電所,１号機,HYBRID_PUMPED,1号機,10.0
HOKKAIDO,北海道電力 高見,高見発電所,２号機,HYBRID_PUMPED,2号機,14.0
TOHOKU,東北電力 女川原子力,女川原子力発電所,女川原子力発電所2号機,NUCLEAR,2号機,82.5
TOHOKU,東北電力 女川原子力,女川原子力発電所,女川原子力発電所3号機,NUCLEAR,3号機,82.5
TOHOKU,東北電力 東通原子力,東通原子力発電所,東通原子力発電所1号機,NUCLEAR,1号機,110.0
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所１号機,１号機,OTHER,1号機,60.0
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所２号機,２号機,OTHER,2号機,60.0
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所３号系列,３-１号系列,CC,3-1号系列,60.5
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所３号系列,３-２号系列,CC,3-2号系列,60.5
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所４号系列,４-１号系列,MACC,4-1号系列,82.6
TOHOKU,東北電力 東新潟火力,東北電力東新潟火力発電所４号系列,４-２号系列,MACC,4-2号系列,87.4
TOHOKU,東北電力 新仙台火力,東北電力新仙台火力発電所３号系列,３-１号機,MACC,3-1号機,52.3
TOHOKU,東北電力 新仙台火力,東北電力新仙台火力発電所３号系列,３-２号機,MACC,3-2号機,52.3
TOHOKU,東北電力 上越火力,東北電力上越火力発電所１号機,１号機,MACC2,1号機,57.2
TOHOKU,東北電力 仙台火力,東北電力仙台火力発電所４号機,４号機,ACC,4号機,46.8
TOHOKU,東北電力 八戸火力,東北電力八戸火力発電所５号機,５号機,ACC,5号機,41.6
TOHOKU,福島天然ガス発電(株) 福島天然ガス,福島天然ガス発電所,1号機,MACC2,1号機,59.0
TOHOKU,福島天然ガス発電(株) 福島天然ガス,福島天然ガス発電所,2号機,MACC2,2号機,59.0
TOHOKU,東北電力 原町火力,東北電力原町火力発電所１号機,１号機,USC,1号機,100.0
TOHOKU,東北電力 原町火力,東北電力原町火力発電所２号機,２号機,USC,2号機,100.0
TOHOKU,東北電力 能代火力,東北電力能代火力発電所１号機,１号機,SC,1号機,60.0
TOHOKU,東北電力 能代火力,東北電力能代火力発電所２号機,２号機,USC,2号機,60.0
TOHOKU,東北電力 能代火力,東北電力能代火力発電所３号機,３号機,USC,3号機,60.0
TOHOKU,相馬共同火力発電(株) 新地火力,相馬共同火力発電株式会社新地火力発電所,新地1号機,SC,1号機,100.0
TOHOKU,相馬共同火力発電(株) 新地火力,相馬共同火力発電株式会社新地火力発電所,新地2号機,SC,2号機,100.0
TOHOKU,常磐共同火力 勿来,勿来発電所,勿来7号機,SUB_C,7号機,25.0
TOHOKU,常磐共同火力 勿来,勿来発電所,勿来8号機（東北系）,SC,8号機,60.0
TOHOKU,常磐共同火力 勿来,勿来発電所,勿来9号機（東北系）,SC,9号機,60.0
TOHOKU,酒田共同火力(株) 酒田共同火力,酒田共同火力発電所,１号機,SUB_C,１号機,35.0
TOHOKU,酒田共同火力(株) 酒田共同火力,酒田共同火力発電所,２号機,SUB_C,２号機,35.0
TOHOKU,東北電力 秋田火力,東北電力秋田火力発電所４号機,４号機,OIL,4号機,60.0
TOHOKU,日本製紙 石巻雲雀野,石巻雲雀野発電所,1号機,SUB_C,1号機,14.9
TOHOKU,糸魚川発電(株) 糸魚川,糸魚川発電所,単独,SUB_C,,14.9
TOHOKU,日本製鉄 釜石火力,日本製鉄(株) 釜石火力発電所,釜石火力発電所,SUB_C,,13.6
TOHOKU,エイブルエナジー合同会社 福島いわきバイオマス,福島いわきバイオマス発電所,1,OTHER,,11.2
TOHOKU,相馬エネルギーパーク 相馬石炭・バイオマス,相馬石炭・バイオマス発電所,単独,SUB_C,,11.2
TOHOKU,仙台パワーステーション(株) 仙台パワーステーション,仙台パワーステーション,単独,SUB_C,,11.2
TOHOKU,電源開発 奥只見,電源開発奥只見発電所,1号機,HYDRO,1号機,12.0
TOHOKU,電源開発 奥只見,電源開発奥只見発電所,2号機,HYDRO,2号機,12.0
TOHOKU,電源開発 奥只見,電源開発奥只見発電所,3号機,HYDRO,3号機,12.0
TOHOKU,電源開発 奥只見,電源開発奥只見発電所,4号機,HYDRO,4号機,20.0
TOHOKU,電源開発 田子倉,電源開発田子倉発電所(東北),1号機,HYDRO,1号機,10.0
TOHOKU,電源開発 田子倉,電源開発田子倉発電所(東北),2号機,HYDRO,2号機,10.0
TOHOKU,電源開発 田子倉,電源開発田子倉発電所(東北),3号機,HYDRO,3号機,10.0
TOHOKU,電源開発 田子倉,電源開発田子倉発電所(東北),4号機,HYDRO,4号機,10.0
TOHOKU,電源開発 奥清津,電源開発奥清津発電所,1号機,PUMPED,1号機,25.0
TOHOKU,電源開発 奥清津,電源開発奥清津発電所,2号機,PUMPED,2号機,25.0
TOHOKU,電源開発 奥清津,電源開発奥清津発電所,3号機,PUMPED,3号機,25.0
TOHOKU,電源開発 奥清津,電源開発奥清津発電所,4号機,PUMPED,4号機,25.0
TOHOKU,電源開発 奥清津,電源開発奥清津第二発電所,1号機,PUMPED,第二1号機,30.0
TOHOKU,電源開発 奥清津,電源開発奥清津第二発電所,2号機,PUMPED,第二2号機,30.0
TOHOKU,電源開発 下郷,電源開発下郷発電所,1号機,PUMPED,1号機,25.0
TOHOKU,電源開発 下郷,電源開発下郷発電所,2号機,PUMPED,2号機,25.0
TOHOKU,電源開発 下郷,電源開発下郷発電所,3号機,PUMPED,3号機,25.0
TOHOKU,電源開発 下郷,電源開発下郷発電所,4号機,PUMPED,4号機,25.0
TOHOKU,東北電力 第二沼沢,第二沼沢発電所,１号機,PUMPED,1号機,23.0
TOHOKU,東北電力 第二沼沢,第二沼沢発電所,２号機,PUMPED,2号機,23.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽1号機,NUCLEAR,1号機,110.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽2号機,NUCLEAR,2号機,110.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽3号機,NUCLEAR,3号機,110.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽4号機,NUCLEAR,4号機,110.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽5号機,NUCLEAR,5号機,110.0
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽6号機,NUCLEAR,6号機,135.6
TOKYO,東京電力HD 東京柏崎刈羽,東京柏崎刈羽,柏崎刈羽7号機,NUCLEAR,7号機,135.6
TOKYO,日本原子力発電 東海第二,東海第二発電所,単独,NUCLEAR,,110.0
TOKYO,JERA 川崎火力,川崎火力発電所１号系列１軸,川崎１ー１軸,MACC,1-1軸,50.0
TOKYO,JERA 川崎火力,川崎火力発電所１号系列２軸,川崎１ー２軸,MACC,1-2軸,50.0
TOKYO,JERA 川崎火力,川崎火力発電所１号系列３軸,川崎１ー３軸,MACC,1-3軸,50.0
TOKYO,JERA 川崎火力,川崎火力発電所２号系列１軸,川崎２ー１軸,MACC,2-1軸,50.0
TOKYO,JERA 川崎火力,川崎火力発電所２号系列２軸,川崎２ー２軸,MACC2,2-2軸,71.0
TOKYO,JERA 川崎火力,川崎火力発電所２号系列３軸,川崎２ー３軸,MACC2,2-3軸,71.0
TOKYO,JERA 姉崎火力,姉崎火力発電所新１号機,姉崎新1号,MACC2,新1号機,64.69
TOKYO,JERA 姉崎火力,姉崎火力発電所新２号機,姉崎新2号,MACC2,新2号機,64.69
TOKYO,JERA 姉崎火力,姉崎火力発電所新３号機,姉崎新3号,MACC2,新3号機,64.69
TOKYO,JERA 姉崎火力,姉崎火力発電所５号機,姉崎５号,LNG,5号機,60.0
TOKYO,JERA 姉崎火力,姉崎火力発電所６号機,姉崎６号,LNG,6号機,60.0
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列１軸,富津１ー１軸,CC,1-1軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列２軸,富津１ー２軸,CC,1-2軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列３軸,富津１ー３軸,CC,1-3軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列４軸,富津１ー４軸,CC,1-4軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列５軸,富津１ー５軸,CC,1-5軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列６軸,富津１ー６軸,CC,1-6軸,16.7
TOKYO,JERA 富津火力1号系列,富津火力発電所１号系列７軸,富津１ー７軸,CC,1-7軸,16.5
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列１軸,富津２ー１軸,ACC,2-1軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列２軸,富津２ー２軸,ACC,2-2軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列３軸,富津２ー３軸,ACC,2-3軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列４軸,富津２ー４軸,ACC,2-4軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列５軸,富津２ー５軸,ACC,2-5軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列６軸,富津２ー６軸,ACC,2-6軸,16.2
TOKYO,JERA 富津火力2号系列,富津火力発電所２号系列７軸,富津２ー７軸,ACC,2-7軸,16.2
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所３号系列１軸,富津３ー１軸,ACC,3-1軸,38.0
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所３号系列２軸,富津３ー２軸,ACC,3-2軸,38.0
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所３号系列３軸,富津３ー３軸,ACC,3-3軸,38.0
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所３号系列４軸,富津３ー４軸,ACC,3-4軸,38.0
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所４号系列１軸,富津４ー１軸,MACC,4-1軸,50.7
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所４号系列２軸,富津４ー２軸,MACC,4-2軸,50.7
TOKYO,JERA 富津火力3号系列4号系列,富津火力発電所４号系列３軸,富津４ー３軸,MACC,4-3軸,50.7
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所１号系列１軸,千葉１ー１軸,ACC,1-1軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所１号系列２軸,千葉１ー２軸,ACC,1-2軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所１号系列３軸,千葉１ー３軸,ACC,1-3軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所１号系列４軸,千葉１ー４軸,ACC,1-4軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所２号系列１軸,千葉２ー１軸,ACC,2-1軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所２号系列２軸,千葉２ー２軸,ACC,2-2軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所２号系列３軸,千葉２ー３軸,ACC,2-3軸,36.0
TOKYO,JERA 千葉火力1号系列2号系列,千葉火力発電所２号系列４軸,千葉２ー４軸,ACC,2-4軸,36.0
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列１軸,千葉３ー１軸,MACC,3-1軸,50.0
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列２軸,千葉３ー２軸,MACC,3-2軸,50.0
TOKYO,JERA 千葉火力3号系列,千葉火力発電所３号系列３軸,千葉３ー３軸,MACC,3-3軸,50.0
TOKYO,JERA 横浜火力,横浜火力発電所7号系列２軸,横浜７ー２軸,ACC,7-2軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所7号系列３軸,横浜７ー３軸,ACC,7-3軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所7号系列４軸,横浜７ー４軸,ACC,7-4軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所７号系列１軸,横浜７ー１軸,ACC,7-1軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列１軸,横浜８ー１軸,ACC,8-1軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列２軸,横浜８ー２軸,ACC,8-2軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列３軸,横浜８ー３軸,ACC,8-3軸,37.7
TOKYO,JERA 横浜火力,横浜火力発電所８号系列４軸,横浜８ー４軸,ACC,8-4軸,37.7
TOKYO,JERA 上越火力,上越火力発電所,１-１号機,ACC,1-1号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,１-２号機,ACC,1-2号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,２-１号機,ACC,2-1号機,59.5
TOKYO,JERA 上越火力,上越火力発電所,２-２号機,ACC,2-2号機,59.5
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列１軸,鹿島７ー１軸,ACC,7-1軸,42.0
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列２軸,鹿島７ー２軸,ACC,7-2軸,42.0
TOKYO,JERA 鹿島火力,鹿島火力発電所７号系列３軸,鹿島７ー３軸,ACC,7-3軸,42.0
TOKYO,(株)コベルコパワー真岡 真岡,真岡発電所,1号機,MACC,1号機,62.41
TOKYO,(株)コベルコパワー真岡 真岡,真岡発電所,2号機,MACC,2号機,62.41
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,1,ACC,1号機,40.71
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,2,ACC,2号機,40.71
TOKYO,(株)扇島パワー 扇島パワー,扇島パワー,3,ACC,3号機,40.71
TOKYO,JERA 品川火力,品川火力発電所１号系列１軸,品川１ー１軸,ACC,1-1軸,38.0
TOKYO,JERA 品川火力,品川火力発電所１号系列２軸,品川１ー２軸,ACC,1-2軸,38.0
TOKYO,JERA 品川火力,品川火力発電所１号系列３軸,品川１ー３軸,ACC,1-3軸,38.0
TOKYO,川崎天然ガス発電(株) 川崎天然ガス,川崎天然ガス発電所,川天1号機,ACC,1号機,41.3
TOKYO,川崎天然ガス発電(株) 川崎天然ガス,川崎天然ガス発電所,川天2号機,ACC,2号機,41.3
TOKYO,JFEスチール JFE千葉IPP,ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション,ＪＦＥ千葉ＩＰＰ,CC,,46.61
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所１号機,袖ケ浦１号,LNG,1号機,60.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所２号機,袖ケ浦２号,LNG,2号機,100.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所３号機,袖ケ浦３号,LNG,3号機,100.0
TOKYO,JERA 袖ケ浦火力,袖ケ浦火力発電所４号機,袖ケ浦４号,LNG,4号機,100.0
TOKYO,JERA 東扇島火力,東扇島火力発電所１号機,東扇島１号,LNG,１号機,100.0
TOKYO,JERA 東扇島火力,東扇島火力発電所２号機,東扇島２号,LNG,２号機,100.0
TOKYO,JERA 南横浜火力,南横浜火力発電所１号機,南横浜１号,LNG,1号機,35.0
TOKYO,JERA 南横浜火力,南横浜火力発電所２号機,南横浜２号,LNG,2号機,35.0
TOKYO,JERA 南横浜火力,南横浜火力発電所３号機,南横浜３号,LNG,3号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,３号機,LNG,3号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,４号機,OIL,4号機,35.0
TOKYO,鹿島共同火力(株) 鹿島共同,鹿島共同発電所,５号機,ACC,5号機,35.0
TOKYO,JERA 常陸那珂火力,常陸那珂火力発電所１号機,常陸那珂１号,USC,1号機,100.0
TOKYO,JERA 常陸那珂火力,常陸那珂火力発電所２号機,常陸那珂２号,USC,2号機,100.0
TOKYO,JERA 常陸那珂共同火力,常陸那珂共同火力発電所1号機,常陸那珂共同火力１号,USC,1号機,65.0
TOKYO,JERA 広野火力,広野火力発電所２号機,広野２号,OIL,2号機,60.0
TOKYO,JERA 広野火力,広野火力発電所５号機,広野５号,USC,5号機,60.0
TOKYO,JERA 広野火力,広野火力発電所６号機,広野６号,USC,6号機,60.0
TOKYO,JERA 横須賀火力,横須賀火力発電所1号機,横須賀1号,USC,1号機,65.0
TOKYO,JERA 横須賀火力,横須賀火力発電所2号機,横須賀2号,USC,2号機,65.0
TOKYO,電源開発 磯子火力,電源開発磯子火力発電所新１号機,1号機,USC,1号機,60.0
TOKYO,電源開発 磯子火力,電源開発磯子火力発電所新２号機,2号機,USC,2号機,60.0
TOKYO,鹿島パワー(株) 鹿島火力,鹿島火力発電所,2号機,USC,2号機,64.5
TOKYO,ENEOS 根岸ガス化複合,根岸 ガス化複合発電所,単独,OIL,,43.145
TOKYO,日本製鉄 鹿島火力,日本製鉄 鹿島火力発電所,ＮＳ鹿島,SC,,47.5
TOKYO,(株)エフビット横須賀パワー 横須賀パワーステーション,株式会社エフビット横須賀パワー　横須賀パワーステーション,単独,CC,,23.97
TOKYO,(株)中袖クリーンパワー 中袖クリーンパワー,中袖クリーンパワー発電所,コンバインド,CC,,10.739
TOKYO,(株)新中袖発電所 新中袖,新中袖発電所,単独,CC,,11.24
TOKYO,日立造船(株) 茨城工場第一,日立造船株式会社茨城工場第一発電所,2号機,CC,2号機,11.358
TOKYO,日立造船(株) 茨城工場第一,日立造船株式会社茨城工場第一発電所,3号機,CC,3号機,11.23
TOKYO,ゼロワットパワー(株) 市原,ゼロワットパワー株式会社　市原発電所,単独,CC,,10.55
TOKYO,ENEOS 鹿島,鹿島発電所,単独,OTHER,,12.5
TOKYO,かみすパワー(株) 神栖火力,神栖火力発電所,単独,SUB_C,,11.2
TOKYO,鈴川エネルギーセンター(株) 鈴川エネルギーセンター,鈴川エネルギーセンター発電所,単独,SUB_C,,11.2
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,1号機,HYBRID_PUMPED,1号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,2号機,HYBRID_PUMPED,2号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,3号機,HYBRID_PUMPED,3号機,32.0
TOKYO,東京電力RP 新高瀬川,新高瀬川発電所,4号機,HYBRID_PUMPED,4号機,32.0
TOKYO,東京電力RP 玉原,玉原発電所,1号機,PUMPED,1号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,2号機,PUMPED,2号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,3号機,PUMPED,3号機,30.0
TOKYO,東京電力RP 玉原,玉原発電所,4号機,PUMPED,4号機,30.0
TOKYO,東京電力RP 葛野川,葛野川発電所,1号機,PUMPED,1号機,40.0
TOKYO,東京電力RP 葛野川,葛野川発電所,2号機,PUMPED,2号機,40.0
TOKYO,東京電力RP 葛野川,葛野川発電所,4号機,PUMPED,4号機,40.0
TOKYO,東京電力RP 今市,今市発電所,1号機,PUMPED,1号機,35.0
TOKYO,東京電力RP 今市,今市発電所,2号機,PUMPED,2号機,35.0
TOKYO,東京電力RP 今市,今市発電所,3号機,PUMPED,3号機,35.0
TOKYO,東京電力RP 神流川,神流川発電所,1号機,PUMPED,1号機,47.0
TOKYO,東京電力RP 神流川,神流川発電所,2号機,PUMPED,2号機,47.0
TOKYO,東京電力RP 塩原,塩原発電所,1号機,PUMPED,1号機,30.0
TOKYO,東京電力RP 塩原,塩原発電所,2号機,PUMPED,2号機,30.0
TOKYO,東京電力RP 塩原,塩原発電所,3号機,PUMPED,3号機,30.0
TOKYO,東京電力RP 安曇,安曇発電所,1号機,HYBRID_PUMPED,1号機,10.5
TOKYO,東京電力RP 安曇,安曇発電所,2号機,HYBRID_PUMPED,2号機,10.55
TOKYO,東京電力RP 安曇,安曇発電所,3号機,HYBRID_PUMPED,3号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,4号機,HYBRID_PUMPED,4号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,5号機,HYBRID_PUMPED,5号機,10.3
TOKYO,東京電力RP 安曇,安曇発電所,6号機,HYBRID_PUMPED,6号機,10.3
TOKYO,電源開発 沼原,電源開発沼原発電所,1号機,PUMPED,1号機,22.5
TOKYO,電源開発 沼原,電源開発沼原発電所,2号機,PUMPED,2号機,22.5
TOKYO,電源開発 沼原,電源開発沼原発電所,3号機,PUMPED,3号機,22.5
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,３号機,NUCLEAR,3号機,110.0
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,４号機,NUCLEAR,4号機,113.7
CHUBU,中部電力 浜岡原子力,浜岡原子力発電所,５号機,NUCLEAR,5号機,138.0
CHUBU,JERA 西名古屋火力,西名古屋火力発電所,７-１号機,MACC2,7-1号機,118.82
CHUBU,JERA 西名古屋火力,西名古屋火力発電所,７-２号機,MACC2,7-2号機,118.82
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-１号機,ACC,7-1号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-２号機,ACC,7-2号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-３号機,ACC,7-3号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-４号機,ACC,7-4号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-５号機,ACC,7-5号機,24.3
CHUBU,JERA 新名古屋火力7号系列,新名古屋火力発電所,７-６号機,ACC,7-6号機,24.3
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-１号機,MACC,8-1号機,40.0
CHUBU,JERA 新名古屋火力8号系列,新名古屋火力発電所,８-２号機,MACC,8-2号機,40.0
